Rank,Grade,Channel name,Video Uploads,Subscribers,Video views,Grade_num,Average_Views
544,A ,ExtremeToys TV,198,3149612,1677529254,3,8472369.969696969
545,A ,TV9 Telugu,70114,2228419,1508118007,3,21509.51317853781
546,A ,MNCTV Official,13658,2065192,1301504088,3,95292.43578854884
547,A ,Shree Jee - Bhakti,288,1697335,257776678,3,895057.9097222222
548,A ,Daily Dose Of Internet,248,3213494,619930129,3,2499718.2620967743
549,A ,ESPN,15406,3809945,1831219507,3,118864.04692976762
551,A ,Zic Zic,235,4819898,1213718048,3,5164757.65106383
552,A ,PomPom Toys,2102,5846998,2966524671,3,1411286.713130352
553,A ,Charlie Puth,78,12768568,4986609952,3,63930896.820512824
554,A ,disneyjunior,1270,2744626,2005878459,3,1579431.857480315
555,A ,LEGENDA FUNK,3454,6370205,1335943968,3,386781.69310943835
556,A ,Mr. .X,734,848717,515985070,3,702976.9346049046
558,A ,ميلاد يوسف Milad youssef,1378,1384292,1329783176,3,965009.5616835994
559,A ,Calon Sarjana,615,5076689,1020204868,3,1658869.7040650407
560,A ,Wild 'N Out,289,2364613,1018207318,3,3523208.712802768
561,A ,atv,12979,2970128,3286329190,3,253203.57423530318
562,A ,Selena,1015,1182604,1579420780,3,1556079.5862068965
563,A ,EvanTubeHD,610,5764155,3566555551,3,5846812.3786885245
564,A ,TopMovieClips,190,1223298,792518546,3,4171150.2421052633
565,A ,Warner Music Italy,1094,3309979,2994976793,3,2737638.750457038
566,A ,Kênh Thiếu Nhi - BHMEDIA,4285,3092017,2195967295,3,512477.78179696616
567,A ,Shalimar Telugu & Hindi Movies,66356,2516177,1876741442,3,28282.920037374162
568,A ,ABP NEWS HINDI,26768,2742853,524535242,3,19595.608263598326
569,A ,Ninja Kidz TV,64,2290985,813145985,3,12705406.015625
570,A ,Gusttavo Lima Oficial,224,4840192,2358786455,3,10530296.674107144
571,A ,TrendingPranks,446,1153411,542946954,3,1217369.8520179372
572,A ,MSNBC,15535,1174437,1088662780,3,70078.06758931445
573,A ,NAGASWARA Official Video |…,1220,3193506,1667607612,3,1366891.4852459016
574,A ,ABP NEWS,109223,6055077,2206306855,3,20200.02064583467
575,A ,Pixl Networks,55,2711107,1041616897,3,18938489.036363635
576,A ,Nexa Experience,379,203695,256308148,3,676274.7968337731
577,A ,NEXT9NEWS हर खबर आप…,63174,6859179,3100755270,3,49082.77566720486
578,A ,SlenderMan™,657,2087554,744344557,3,1132944.5312024353
579,A ,عائلة رياض,377,1016229,629328264,3,1669305.7400530505
580,A ,VikatanTV,9509,3169606,2278075738,3,239570.48459354296
581,A ,Facts Verse,909,5271676,1554866686,3,1710524.407040704
583,A ,TRANS TV Official,24763,2544005,1552015064,3,62674.75927795501
584,A ,Life of Sammie,41,2029968,605160228,3,14760005.56097561
585,A ,DisneyChannelLAVEVO,171,4922786,2433450096,3,14230702.315789474
586,A ,Ali Baba channel,330,2554930,839410895,3,2543669.378787879
588,A ,EBSKids (EBS 유아),18762,1667660,2549504841,3,135886.62408058843
589,A ,ROHIT RATAN Entertainment,14,224360,67934584,3,4852470.285714285
590,A ,YtCrash,781,2903276,1080070185,3,1382932.3751600513
591,A ,Family Playlab,283,3243914,2058161021,3,7272653.784452297
592,A ,Katie Cutie Kids TV,69,3784667,2024315426,3,29337904.72463768
593,A ,Русские сериалы,5301,1681184,1469488817,3,277209.73721939255
594,A ,Dr. Sandra Lee (aka Dr. Pimple…,1094,4272495,2347360575,3,2145667.801645338
595,A ,Dance India Dance,3316,2985322,1583077388,3,477405.7261761158
596,A ,Jimmy Kimmel Live,3531,12820630,6534665554,3,1850655.7785329935
597,A ,ChrisBrownVEVO,188,12741051,7241517056,3,38518707.74468085
598,A ,zbing z.,1341,6802318,2596161381,3,1935989.0984340045
599,A ,RDC Gujarati,8791,3406033,1276040040,3,145153.00193379592
600,A ,As/Is,3619,10136755,9350864007,3,2583825.3680574745
601,A ,JTBC Entertainment,43526,2510230,3072967216,3,70600.72637044525
602,A ,wifistudy,5120,3701788,283818023,3,55433.2076171875
603,A ,Brave Wilderness,434,12412173,2199756620,3,5068563.640552996
604,A ,CamilaCabelloVEVO,24,5699111,2883573314,3,120148888.08333333
605,A ,Lele Pons,91,11509478,1901823651,3,20899161.0
606,A ,Левушка ТВ / Levushka TV,14,2185504,313830250,3,22416446.42857143
607,A ,Kids Fun,626,7707410,1669688712,3,2667234.3642172525
608,A ,Na CorreRia,318,1825702,569564874,3,1791084.5094339622
609,A ,Lahari Music | T-Series,5044,3225557,2115150985,3,419340.00495638384
610,A ,TLC,6302,3048980,2624944899,3,416525.6900983815
611,A ,Antena 3,17808,3856456,4195576436,3,235600.65341419587
612,A ,Nirahua Music World,449,2287370,1180128215,3,2628347.917594655
613,A ,Sonotek Sapna Official,797,3939796,1165256026,3,1462052.7302383939
614,A ,AdeleVEVO,31,16270830,7414111263,3,239164879.4516129
615,A ,Daily Bumps,2002,3924674,2862958130,3,1430049.015984016
616,A ,toyorbabytv,274,5758203,3726769590,3,13601348.868613139
617,A ,Tasty,2266,9780213,1776253889,3,783871.9721977052
618,A ,Indosiar,16679,2995436,1951629262,3,117011.1674560825
619,A ,Marco Flores Y La Jerez,239,320217,173689542,3,726734.4853556486
620,A ,naarkw نار,813,1625757,565047761,3,695015.6961869618
621,A ,Izabela Stress,349,1279091,407052127,3,1166338.4727793697
622,A ,AdMe.ru - Сайт о…,1158,5038308,927598787,3,801035.2219343696
623,A ,Diogo Lopes,333,125969,50494550,3,151635.2852852853
624,A ,TV Thunder Official,6687,2745028,1603534317,3,239798.76132794976
625,A ,ChildishGambinoVEVO,30,1775977,1236215977,3,41207199.233333334
627,A ,Mor Music,2274,2227003,1080825285,3,475296.9591029024
628,A ,Barbie,4656,4856911,2825580808,3,606868.7302405498
629,A ,cocoz toon,1,2162992,333012122,3,333012122.0
630,A ,Flashback FM,1074,570731,541959488,3,504617.77281191805
631,A ,RihannaVEVO,106,26582805,13103339807,3,123616413.2735849
632,A ,Erkenci Kuş,212,760826,246250847,3,1161560.5990566039
633,A ,kev,98,2843375,322258943,3,3288356.56122449
634,A ,piso21music,68,3840012,2543978649,3,37411450.72058824
635,A ,Ya - Alisa,98,6432043,712863538,3,7274117.734693877
636,A ,TRANS7 OFFICIAL,31607,1933260,889951998,3,28156.800645426647
637,A ,Funny Stop Motion videos,1747,5901410,3359105465,3,1922785.0400686893
639,A ,Truyen Hinh Vinh Long,12571,2675689,2581487588,3,205352.60424787208
640,A ,Cole&Sav,213,6896766,1594931178,3,7487939.802816901
641,A ,Latina.pe,31487,1874934,1352338732,3,42949.113348365994
642,A ,Home Bollywud,990,1916774,721909693,3,729201.71010101
643,A ,Talking Tom,212,7316952,3520693782,3,16607046.141509434
644,A ,Britain's Got Talent,2135,10917075,6736575829,3,3155304.83793911
645,A ,حقائق وأسرار,450,4646803,682210118,3,1516022.4844444445
646,A ,Wish 107.5,672,3459118,1277457875,3,1900978.980654762
647,A ,Super Polina Play,121,3965541,643212922,3,5315809.2727272725
648,A ,AtimeOnline,3581,1468551,721016795,3,201345.097738062
649,A ,JenniferLopezVEVO,100,7405915,5633320640,3,56333206.4
650,A ,Little Angel: Nursery Rhymes & Kids…,831,1139539,941356209,3,1132799.2888086643
651,A ,Comedy Central,4296,6913518,3518912919,3,819113.8079608938
652,A ,Good Mythical Morning,2062,14137878,4658271692,3,2259103.6333656646
653,A ,Hindi Fairy Tales,84,2095557,627730125,3,7472977.678571428
654,A ,Mejores Juguetes,1197,8762986,5623751087,3,4698204.751044277
655,A ,Len Ken,266,2209750,1233083120,3,4635650.8270676695
656,A ,ANTV - Truyền hình Công an…,22484,1418544,1148673214,3,51088.47242483544
657,A ,SQUEEZIE,1244,11445353,5304390859,3,4263979.790192926
658,A ,La Rosa De Guadalupe,228,711859,203575222,3,892873.7807017544
659,A ,National Geographic,8906,9260318,2644227075,3,296904.00572647655
660,A ,Telemundo Novelas,11638,3640005,2023481900,3,173868.52551984877
661,A ,براق ميديا BURAQ MEDIA,355,302828,42801078,3,120566.41690140845
662,A ,Мастерская…,449,7534189,1544349168,3,3439530.4409799553
663,A ,Ceylin - H Official,255,2017216,990613385,3,3884758.3725490198
664,A ,Brianna's Secret Club TH,679,1875452,622346812,3,916563.7879234168
665,A ,Donna the Explorer,124,3887565,958050672,3,7726215.096774193
666,A ,Kan & Aki's CHANNEL,983,2329068,4995638741,3,5082033.307222787
667,A ,ボンボンTV,4603,1487664,1916088745,3,416269.5513795351
668,A ,DisneyJuniorUK,1976,4581188,5385287373,3,2725347.8608299596
669,A ,KOLLYWOOD MOVIES,90,177222,57915194,3,643502.1555555556
670,A ,Coke Studio,336,4681857,1147641963,3,3415601.0803571427
671,A ,Projeto Cartoon,200,1101045,348972844,3,1744864.22
672,A ,Clubinho da Laura,717,4577242,1282419642,3,1788590.8535564854
673,A ,MBCClassic,44863,981511,2021738000,3,45064.70811136126
674,A ,O Reino das Crianças,317,2725958,1668191191,3,5262432.779179811
675,A ,Toy Wizard [토이위자드],159,1127860,173527687,3,1091369.1006289308
676,A ,Warner Music México,1145,2027574,2697937430,3,2356277.231441048
677,A ,KSIvsLogan,15,1323502,73396246,3,4893083.066666666
678,A ,SAS-ASMR,405,2796285,593260102,3,1464839.7580246914
679,A ,MrBeanCartoonGames,369,105359,90178358,3,244385.7940379404
680,A ,GRM Daily,5372,1336512,1169745170,3,217748.54244229337
681,A ,Shot of The Yeagers,802,2189918,1087106753,3,1355494.704488778
682,A ,Julia MineGirl,1208,3087993,1695715957,3,1403738.375
683,A ,Jelly,2905,8818251,3306593484,3,1138242.1631669535
684,A ,Haschak Sisters,175,5362718,2420126265,3,13829292.942857143
685,A ,Zig & Sharko,344,2197733,1084156197,3,3151616.851744186
686,A ,DIEN QUAN Entertainment / Giải…,3964,2667123,1946223024,3,490974.526740666
688,A ,Vinamilk,355,931567,840724889,3,2368239.123943662
689,A ,Kids Labo TV,449,2099865,555762465,3,1237778.3184855233
690,A ,Me contro Te,607,2843068,1435280878,3,2364548.398682043
691,A ,Fernanfloo,569,29325333,6961274106,3,12234225.142355008
692,A ,HAR PAL GEO,4425,2340040,1122121854,3,253586.85966101696
693,A ,Funny Cars & Toys,82,1001085,267811850,3,3265998.1707317075
694,A ,WhenGamersFail ► Lyon,2391,1671755,1021507665,3,427230.3074027604
695,A ,Аид [VyacheslavOO],1050,3795996,1128218754,3,1074494.0514285713
696,A ,GamingWithKev,1312,3351802,1565809530,3,1193452.3856707318
697,A ,IDJVideos.TV,823,2385627,3210778735,3,3901310.7351154312
698,A ,WB Kids,938,1821509,585441278,3,624137.8230277186
699,A ,hamaarbhojpuri,7106,2908355,1793225350,3,252353.6940613566
700,A ,1MILLION Dance Studio,1202,11058659,2616585255,3,2176859.6131447586
701,A ,Tareq Qar,110,82895,43465545,3,395141.3181818182
702,A ,Pen Movies,191,1486692,449864760,3,2355312.879581152
703,A ,JP Plays,1855,4706065,1192397077,3,642801.6587601078
704,A ,TWO SUPER SISTERS,169,1357067,405266486,3,2398026.5443786983
705,A ,MrSuicideSheep,2077,9972603,3933001232,3,1893597.1266249397
706,A ,Its JoJo Siwa,389,7546352,1668041209,3,4288023.673521851
707,A ,湖南卫视芒果TV官方频道…,32887,2611322,2391540342,3,72719.93012436524
708,A ,NTV Telugu,125240,1452863,1118975963,3,8934.653169913765
709,A ,Troom Troom Es,359,5733171,1105942548,3,3080619.91086351
710,A ,SamsungIndia,183,1852869,1398222403,3,7640559.579234973
711,A ,Two Players One Console,1209,1147779,596446534,3,493338.7377998346
712,A ,Discovery Kids,417,1017733,392018272,3,940091.7793764988
713,A ,Chim Xinh Channel,1231,842216,342871421,3,278530.8050365556
714,A ,Surya Citra Televisi (SCTV),16012,2265698,1304621636,3,81477.74394204347
715,A ,OfficialWhiteMusic,501,2361915,1846665320,3,3685958.7225548904
716,A ,truTV,4226,1696481,1886195776,3,446331.22953147185
717,A ,BIBI TV,346,1391175,914486119,3,2643023.465317919
718,A ,RCM Bhojpuri Hit,2991,2060000,607273422,3,203033.5747241725
719,A ,THVL Phim,7836,1482849,1428617313,3,182314.61370597244
720,A ,América Televisión - Novelas,3542,773094,436156663,3,123138.52710333145
721,A ,DJKhaledVEVO,42,5367633,2727661186,3,64944313.952380955
722,A ,TMG Record Channel,254,3317911,2030131582,3,7992644.023622047
723,A ,DC Kids,648,1153818,878464874,3,1355655.6697530865
725,A ,PostMaloneVEVO,13,4164551,2024331185,3,155717783.46153846
726,A ,JonasBlueVEVO,49,2206912,1560407218,3,31845045.265306123
727,A ,Samsung Vietnam,553,1288522,918334115,3,1660640.3526220615
729,A ,Talking Angela,107,4961738,878628083,3,8211477.411214953
